id	parent_component_id	type_id	title	description	template_type_id	creator_id	component_picture_url	background_color	created_at	updated_at	level_id	privacy_id	order	status
1	NULL	11	Keeping my apartment clean all the time.	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	7001	2	apartment-1.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	10001	0
2	NULL	101	Learning Spanish		7001	18	spanish.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	13	10001	1	0
3	NULL	102	Career Advice	"Communication skills, Listening well to a candidate, Providing constructive feedback. Recruited back in the days"	7001	4	800201.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	10001	0
4	62	11	Learn Spanish		7001	2	spanish.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10001	10011	0
5	7	11	Small Talks	"Small talks with stangers, anywhere in dfferent environment and scenario. "	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
6	NULL	11	Fashion Advice	"Advising on how to dress well, being a gentleman, clothes shopping and lots of savings"	7001	2	fashion.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	10001	0
7	NULL	11	Communication Skills	Mastering communication skills	7001	2	communication.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	100000	0
8	NULL	11	Leadership		7001	1	leadership.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	40000	0
9	22	11	Accent reduction		7001	1	accent.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	11000	0
10	NULL	11	Drawing	I used to like drawing with pencil and paper but somehow stopped.	7001	2	2081.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
11	NULL	11	Sushi Making	I have gained some skill of making sushi from scratch. I continue to improve by reading from different recipes.	7001	2	2080.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10001	1	0
12	NULL	101	Sushi Making	Showing my friend how to make sushi from scratch	7001	14	500010.png		0000-00-00 00:00:00	0000-00-00 00:00:00	13	10001	1	0
13	NULL	11	"Excel, to be awesome in excel. It's hidden functions"	"Excel is one of my favorite software. I have gained so much knowledge and I want to share with the world. However, I am still way less to be an excel expert, so I want to learn from the community."	7001	2	2091.png		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	1	0
14	7	11	Communicate in a noisy area	"Starting a conversation with anyone, anywhere in dfferent environment and scenario. "	7001	1	2092.png	md-yellow-50-bg	0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
15	7	11	Connection with people		7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
16	7	11	Conversation starter	"Starting a conversation with anyone, anywhere in dfferent environment and scenario. "	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
17	7	11	Listen		7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
18	NULL	11	Pay attention to non-verbal communication		7001	1	communication-1.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
19	16	21002	The Weather	A subject when starting a conversation	7001	3	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	29	10001	1	0
20	NULL	11	Communicate		7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
21	22	11	Choosing the right words		7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
22	NULL	11	Speaking		7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	1	10002	1	0
23	24	101	Organizing your closet		7001	7	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	14	10001	1	1
24	NULL	11	Organizing my apartment	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	7001	2	apartment.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	2	10001	10001	0
25	NULL	11	Read an electric meter.		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
26	NULL	11	Calculate your net worth		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
27	NULL	11	Contest a billing error		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
28	34	11	Negotiate medical bills		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
29	NULL	11	Balance a checkbook		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
30	NULL	11	Make a Household budget		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
31	NULL	11	Money management		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
32	9	11	Accent reduction - Pitch and Stress		7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
33	NULL	11	Team Building		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
34	31	11	Negotiation		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
35	8	11	Motivating		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
36	NULL	11	Collaborating 		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
37	31	11	Budgeting		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
38	24	101	Apartment Decoration Ideas	Mi casa es su casa. How to  make my apartment awesome	7001	7	apartment-1.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	13	10001	1	0
39	NULL	11	business		7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
40	NULL	101	Sushi Making	Beginners guide to making sushi from scratch	7001	14	500004.png		0000-00-00 00:00:00	0000-00-00 00:00:00	14	10001	1	0
41	NULL	11	Swimming	I can't imagine that I don't know how to swim. I am in California. Need help to start	7001	3	swimming.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10001	1	0
42	3	101	Career Path (Me in 5 years)	Career Planning	7001	4	500003.png		0000-00-00 00:00:00	0000-00-00 00:00:00	16	10001	1	0
